[mop.temporal.runs.codelife ] exit 0: code lifecycle: active runtime+substrate 7038/8000, new E2 4512/2500, frozen 22817 | CODELIFE_DONE
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
